x,Red,Green,Blue
729.419,0.82754,0.36621,0.05122
733.04,0.82741,0.36994,0.05194
734.083,0.82632,0.37124,0.052
738.234,0.81254,0.3771,0.05199
739.775,0.80399,0.37949,0.05197
749.265,0.74471,0.39602,0.05271
755.37,0.71972,0.40828,0.05518
756.598,0.717,0.41095,0.05612
760.151,0.71178,0.41922,0.06039
763.569,0.70993,0.42822,0.06805
767.568,0.71059,0.43994,0.08493
770.128,0.71133,0.44765,0.1003
774.678,0.70112,0.45953,0.13619
774.742,0.70087,0.45967,0.1368
775.073,0.6996,0.46035,0.14002
779.428,0.68226,0.46704,0.19062
784.537,0.66084,0.47096,0.251
785.396,0.6571,0.47128,0.2618
786.378,0.65279,0.47151,0.27448
793.09,0.62705,0.47239,0.36807
793.228,0.6266,0.47243,0.37016
794.742,0.62189,0.47298,0.39342
798.951,0.60986,0.47455,0.44599
807.767,0.58673,0.47764,0.51376
811.199,0.57803,0.47864,0.5284
811.547,0.57715,0.47873,0.52844
817.242,0.55721,0.47967,0.52773
817.455,0.55618,0.47967,0.52757
817.656,0.5552,0.47967,0.5274
819.886,0.54441,0.47936,0.52309
823.224,0.52836,0.47639,0.51013
824.695,0.5213,0.46979,0.50234
827.421,0.50823,0.46136,0.48737
828.277,0.50413,0.45919,0.48267
828.398,0.50355,0.45879,0.482
831.936,0.48688,0.44795,0.46333
835.457,0.47226,0.4382,0.44995
836.738,0.46756,0.43482,0.4472
837.432,0.46512,0.43302,0.44564
842.475,0.44991,0.42035,0.43548
844.429,0.44548,0.4156,0.43306
851.222,0.43627,0.39957,0.42865
853.656,0.43318,0.39408,0.42781
855.011,0.43102,0.39112,0.42742
860.74,0.4186,0.38017,0.42587
861.317,0.41708,0.37879,0.42567
861.961,0.41534,0.37713,0.4254
865.296,0.40484,0.36764,0.42172
867.755,0.39609,0.3602,0.41494
869.529,0.38981,0.35464,0.40877
869.578,0.38964,0.35448,0.40859
874.543,0.37202,0.33921,0.38946
876.163,0.36618,0.33604,0.38311
877.959,0.35961,0.33256,0.37613
880.809,0.34897,0.32602,0.36506
884.71,0.33463,0.31562,0.34976
889.496,0.31835,0.3018,0.3305
891.959,0.31053,0.29426,0.32069
892.525,0.30877,0.29246,0.31848
898.43,0.29112,0.27435,0.29715
901.234,0.28316,0.26706,0.2883
905.647,0.27141,0.25593,0.27548
912.1,0.25714,0.23988,0.25776
914.056,0.25282,0.23502,0.25244
916.208,0.24756,0.22965,0.24686
918.122,0.24252,0.22483,0.24225
926.996,0.21719,0.2007,0.22123
930.126,0.20785,0.19107,0.21354
933.179,0.19862,0.18143,0.20568
939.001,0.18082,0.1638,0.19047
